2022-05-08 22:25:03 INFO  Launcher:24 - hello
2022-05-08 22:43:01 INFO  Launcher:24 - hello
2022-05-08 22:43:46 INFO  LoginController:22 - Login requestLoginDTO [username=username, password=password]
2022-05-08 22:43:47 INFO  LoginController:29 - Login succesful returning: {"id":1,"username":"username","password":"password","firstname":"tom","lastname":"smith","email":"tom@email","roleID":1}
2022-05-08 22:49:04 INFO  Launcher:24 - hello
2022-05-08 22:50:05 INFO  LoginController:23 - Login request: {"username":"username","password":"password"}
2022-05-08 22:50:06 INFO  LoginController:30 - Login succesful returning: {"id":1,"username":"username","password":"password","firstname":"tom","lastname":"smith","email":"tom@email","roleID":1}
2022-05-08 23:12:43 INFO  Launcher:24 - hello
2022-05-08 23:13:10 INFO  LoginController:23 - Login request: {"username":"username","password":"password"}
2022-05-08 23:13:10 INFO  LoginController:30 - Login succesful returning: {"id":1,"username":"username","password":"password","firstname":"tom","lastname":"smith","email":"tom@email","roleID":1}
2022-05-08 23:13:10 INFO  RequestController:28 - Request for table 1 data from user id: 1
2022-05-08 23:13:11 INFO  RequestController:36 - Returning: ReimbDTO [id=1, amount=500.23, type=Travel, status=Pending, resolver=, email=]
2022-05-08 23:13:11 INFO  RequestController:36 - Returning: ReimbDTO [id=3, amount=25.12, type=Food, status=Approved, resolver=alex proctor, email=taproctor00@gmail.com]
2022-05-08 23:13:11 INFO  RequestController:36 - Returning: ReimbDTO [id=4, amount=33.33, type=Other, status=Pending, resolver=, email=]
2022-05-08 23:38:06 INFO  Launcher:24 - hello
2022-05-08 23:38:25 INFO  LoginController:23 - Login request: {"username":"u","password":"p"}
2022-05-08 23:38:25 INFO  LoginController:30 - Login succesful returning: {"id":2,"username":"u","password":"p","firstname":"alex","lastname":"proctor","email":"taproctor00@gmail.com","roleID":2}
2022-05-08 23:38:25 INFO  RequestController:28 - Request for table 1 data from user id: 2
2022-05-08 23:38:25 INFO  RequestController:66 - Request for table 2 data from user id: 2
2022-05-08 23:38:26 INFO  RequestController:36 - Returning: ReimbDTO [id=2, amount=150.0, type=Lodging, status=Pending, resolver=, email=]
